activation,alpha,batch_size,epochs,hidden_dim,lr,num_layers,job_id,objective,timestamp_submit,timestamp_gather
tanh,0.5,2,200,5,0.01,5,1,-0.036811363,0.024805068969726562,28.174237966537476
gelu,0.005591159142354086,267,289,38,0.0053388468970029836,18,2,-0.57963204,28.22702193260193,203.8394660949707
tanh,0.12576072891884119,135,227,7,0.005967851757146721,10,3,-0.044472314,203.8816659450531,242.71212601661682
gelu,0.17997461648485982,397,265,22,0.0058984792344291895,9,4,-0.004534973,242.7431719303131,328.78482484817505
tanh,3.3965028401152924,246,264,5,0.00821671294966357,10,5,-0.0032243582,328.8256001472473,370.82117319107056
tanh,4.487931364174974,764,205,43,0.007363021391131646,15,6,-0.0014331801,370.8503110408783,421.5464470386505
tanh,0.6690619589880721,997,268,23,0.006426129048434841,16,7,-0.013365429,421.5803020000458,484.6147348880768
elu,4.817849749094695,16,285,10,0.00508170806108779,13,8,-0.0026346478,484.7238099575043,610.2698299884796
tanh,4.8029212014827305,718,263,33,0.0011582934720986786,17,9,-0.0044760057,610.3037910461426,722.2324450016022
elu,0.23677623884654392,972,252,21,0.006667199210462396,20,10,-0.09793073,722.2681519985199,946.3237609863281
